GSM,GSE,Label,PubMed ID,Release Date,In Situ Site,Disease,Total Reads,High-Quality Reads,FRiP,Num Peaks,motif_ov_ratio
GSM3502478,GSE123388,E10.5_limb,31147463,5/13/19,Limb,,29369034,17775845,0.365,72758,0.8569
GSM3502479,GSE123388,E10.5_limb,31147463,5/13/19,Limb,,26721797,16355771,0.331,62891,0.8777
GSM3508478,GSE123636,JM8.N4,31522987,5/30/19,Embryonic Stem Cell,,86365125,42216062,0.26,91106,0.8852
GSM3508689,GSE123670,MEF_reprogramming_day_10,35385732,4/5/22,Embryonic Fibroblast,,66383414,31698039,0.031,15429,0.9608
GSM3508691,GSE123670,MEF_reprogramming_day_10,35385732,4/5/22,Embryonic Fibroblast,,89358930,41801065,0.164,53707,0.8912
GSM3508695,GSE123670,E14,35385732,4/5/22,Embryonic Stem Cell,,86041584,41252601,0.511,87372,0.8504
GSM3508696,GSE123670,E14,35385732,4/5/22,Embryonic Stem Cell,,102634616,46779334,0.424,95868,0.7992
GSM3514541,GSE115862,mOSN,30955885,4/15/19,Mature Olfactory Sensory Neurons,,46358344,26987297,0.027,19667,0.9612
GSM3514542,GSE115862,mOSN,30955885,4/15/19,Mature Olfactory Sensory Neurons,,48728833,29124029,0.037,22973,0.9566
GSM3514543,GSE115862,mOSN,30955885,4/15/19,Mature Olfactory Sensory Neurons,,54122239,34136748,0.019,17070,0.9644
GSM3563950,GSE125129,mESC,31491387,9/5/19,Embryonic Stem Cell,,23756080,15056222,0.301,72258,0.8856
GSM3563952,GSE125129,mESC,31491387,9/5/19,Embryonic Stem Cell,,26303810,16795092,0.284,74695,0.8819
GSM3563954,GSE125129,mESC,31491387,9/5/19,Embryonic Stem Cell,,23788349,16688484,0.336,79793,0.9009
GSM3563956,GSE125129,mESC,31491387,9/5/19,Embryonic Stem Cell,,25045988,17834649,0.317,81477,0.9007
GSM3568502,GSE125294,E12.5_embryonic_limb_bud,31358994,6/1/19,Embryonic Limb Bud,,30962103,21225222,0.037,21424,0.9464
GSM3568503,GSE125294,E12.5_embryonic_limb_bud,31358994,6/1/19,Embryonic Limb Bud,,33443485,10281527,0.09,28457,0.9004
GSM3577968,GSE125595,E14,31522988,9/12/19,Embryonic Stem Cell,,51194308,18256487,0.147,51448,0.9096
GSM3597225,GSE126362,differentiating_mESC,31127120,4/16/19,Embryonic Stem Cell,,39032046,27262806,0.146,54237,0.871
GSM3597226,GSE126362,differentiating_mESC,31127120,4/16/19,Embryonic Stem Cell,,42563159,29426705,0.17,60579,0.8556
GSM3597227,GSE126362,differentiating_mESC,31127120,4/16/19,Embryonic Stem Cell,,33493821,21975723,0.236,65813,0.8522
GSM3597228,GSE126362,differentiating_mESC,31127120,4/16/19,Embryonic Stem Cell,,30065812,19929457,0.227,62109,0.864
GSM3615251,GSE92412,E14,31036938,4/30/19,Embryonic Stem Cell,,31964190,22941945,0.098,39882,0.9183
GSM3615252,GSE92412,E14,31036938,4/30/19,Embryonic Stem Cell,,28292452,19861276,0.084,34856,0.9214
GSM3615253,GSE92412,EpiLSC,31036938,4/30/19,Epiblast-like Stem Cell,,41067856,29220010,0.044,29880,0.9502
GSM3615254,GSE92412,EpiLSC,31036938,4/30/19,Epiblast-like Stem Cell,,37694592,27176465,0.087,42880,0.9393
GSM3615255,GSE92412,E14,31036938,4/30/19,Embryonic Stem Cell,,40466872,28899872,0.054,32435,0.9523
GSM3615256,GSE92412,E14,31036938,4/30/19,Embryonic Stem Cell,,42699862,30637190,0.04,27408,0.9543
GSM3640293,GSE127870,E13.5_metanephros,31209053,6/3/19,Metanephros,,53840030,32328279,0.404,52989,0.8621
GSM3640294,GSE127870,E13.5_metanephros,31209053,6/3/19,Metanephros,,85378114,48876887,0.273,48655,0.8711
GSM3640298,GSE127870,E13.5_forebrain,31209053,6/3/19,Forebrain,,31625318,24790071,0.339,45184,0.8618
GSM3659842,GSE127995,anterior_dorsal_cerebellar_vermis,31068695,5/9/19,Cerebellum,,53313034,28914684,0.098,28420,0.9244
GSM3659843,GSE127995,anterior_dorsal_cerebellar_vermis,31068695,5/9/19,Cerebellum,,53709554,25610634,0.123,29908,0.9174
GSM3659846,GSE127995,anterior_dorsal_cerebellar_vermis,31068695,5/9/19,Cerebellum,,60323212,23826612,0.036,17354,0.9432
GSM3659847,GSE127995,anterior_dorsal_cerebellar_vermis,31068695,5/9/19,Cerebellum,,47607724,26014216,0.091,25638,0.9211
GSM3713720,GSE129478,HPC-7,31515253,4/9/19,Hematopoetic Progenitor,,50481584,14541590,0.064,30409,0.9455
GSM3713721,GSE129478,HPC-7,31515253,4/9/19,Hematopoetic Progenitor,,48416489,14949028,0.064,30851,0.9457
GSM3713722,GSE129478,HPC-7,31515253,4/9/19,Hematopoetic Progenitor,,47980057,11549434,0.062,27764,0.9463
GSM3713723,GSE129478,HPC-7,31515253,4/9/19,Hematopoetic Progenitor,,46650039,11870716,0.063,28280,0.9475
GSM3713724,GSE129478,HPC-7,31515253,4/9/19,Hematopoetic Progenitor,,62834701,22111679,0.094,42060,0.9255
GSM3713725,GSE129478,HPC-7,31515253,4/9/19,Hematopoetic Progenitor,,59482711,22322145,0.094,42106,0.9273
GSM3713734,GSE129478,erythroid,31515253,4/9/19,Erythroid,,69396614,11296333,0.127,37695,0.9214
GSM3713735,GSE129478,erythroid,31515253,4/9/19,Erythroid,,38433150,9375903,0.127,36013,0.921
GSM3713736,GSE129478,erythroid,31515253,4/9/19,Erythroid,,48952410,8396980,0.123,34152,0.9259
GSM3713745,GSE129478,myeloid,31515253,4/9/19,Myeloid,,47702397,2930369,0.066,12921,0.9497
GSM3713746,GSE129478,myeloid,31515253,4/9/19,Myeloid,,50055367,2902845,0.065,12697,0.9448
GSM3714930,GSE129529,pro_B_cell,31202577,4/24/19,"Bone Marrow, Spleen",,45140067,29896903,0.245,64951,0.7912
GSM3719307,GSE129673,mESC,31752933,10/1/19,Embryonic Stem Cell,,50381462,5291373,0.158,25168,0.9395
GSM3719308,GSE129673,mESC,31752933,10/1/19,Embryonic Stem Cell,,56389648,6019410,0.251,34009,0.9394
GSM3719309,GSE129673,mESC,31752933,10/1/19,Embryonic Stem Cell,,59121416,30132621,0.159,41675,0.9337
GSM3719310,GSE129673,mESC,31752933,10/1/19,Embryonic Stem Cell,,64762414,30857081,0.277,52518,0.9151
GSM3728538,GSE129956,MEF,,4/22/19,Embryonic Fibroblast,,18462570,4473196,0.128,10196,0.5792
GSM3729099,GSE129997,G1E-ER4,31776509,11/27/19,Erythroid,,27002647,13415868,0.15,28987,0.9513
GSM3729100,GSE129997,G1E-ER4,31776509,11/27/19,Erythroid,,37705353,21660618,0.179,45090,0.9141
GSM3729101,GSE129997,G1E-ER4_prometaphase,31776509,11/27/19,Erythroid,,26066828,12684548,0.051,15128,0.9707
GSM3729102,GSE129997,G1E-ER4_prometaphase,31776509,11/27/19,Erythroid,,37572225,17450370,0.031,13256,0.9687
GSM3729103,GSE129997,G1E-ER4_prometaphase,31776509,11/27/19,Erythroid,,31045288,9044134,0.025,7080,0.9666
GSM3729104,GSE129997,G1E-ER4_anophase-telophase,31776509,11/27/19,Erythroid,,49010520,21786371,0.159,43879,0.8982
GSM3729105,GSE129997,G1E-ER4_anophase-telophase,31776509,11/27/19,Erythroid,,36714987,20742897,0.139,40157,0.9092
GSM3729106,GSE129997,G1E-ER4_early-G1,31776509,11/27/19,Erythroid,,28025893,16116939,0.129,39410,0.9269
GSM3729107,GSE129997,G1E-ER4_early-G1,31776509,11/27/19,Erythroid,,19389106,11512975,0.146,36217,0.9385
GSM3729108,GSE129997,G1E-ER4_mid-G1,31776509,11/27/19,Erythroid,,41857206,23943460,0.146,45436,0.9173
GSM3729109,GSE129997,G1E-ER4_mid-G1,31776509,11/27/19,Erythroid,,32918443,17650719,0.167,44651,0.92
GSM3729110,GSE129997,G1E-ER4_late-G1,31776509,11/27/19,Erythroid,,36398433,22398535,0.137,43483,0.9229
GSM3729111,GSE129997,G1E-ER4_late-G1,31776509,11/27/19,Erythroid,,35670514,21044860,0.124,40527,0.9278
GSM3735983,GSE130315,pre_B_cell,,5/15/19,Bone Marrow,,35146608,24829720,0.358,79539,0.8774
GSM3756030,GSE131128,liver,32680543,7/7/20,Liver,,20972107,13856968,0.144,39445,0.845
GSM3756031,GSE131128,liver,32680543,7/7/20,Liver,,18117376,12447566,0.143,37016,0.8487
GSM3756032,GSE131128,liver,32680543,7/7/20,Liver,,18440339,12290074,0.168,40099,0.8109
GSM3756033,GSE131128,liver,32680543,7/7/20,Liver,,23342271,11925734,0.105,32767,0.8962
GSM3771259,GSE131356,E14_interphase,31599722,11/5/19,Embryonic Stem Cell,,31140143,19381025,0.288,67851,0.8788
GSM3771260,GSE131356,E14_interphase,31599722,11/5/19,Embryonic Stem Cell,,31967036,21125496,0.336,77201,0.8839
GSM3771261,GSE131356,E14_interphase,31599722,11/5/19,Embryonic Stem Cell,,47186754,23048360,0.331,79216,0.8717
GSM3771262,GSE131356,E14_metaphase,31599722,11/5/19,Embryonic Stem Cell,,42533170,26850123,0.141,35531,0.925
GSM3771263,GSE131356,E14_metaphase,31599722,11/5/19,Embryonic Stem Cell,,27224746,17718137,0.145,34445,0.9337
GSM3771264,GSE131356,E14_metaphase,31599722,11/5/19,Embryonic Stem Cell,,26789504,13883598,0.145,31640,0.9371
GSM3771265,GSE131356,C2C12_interphase,31599722,11/5/19,Myoblast,,72261381,44241561,0.172,66859,0.9054
GSM3771266,GSE131356,C2C12_metapahse,31599722,11/5/19,Myoblast,,61772774,38008504,0.027,18647,0.9658
GSM3771267,GSE131356,NIH-3T3_interphase,31599722,11/5/19,Embryonic Fibroblast,,59390036,35153802,0.213,67129,0.9092
GSM3771269,GSE131356,mESC_interphase,31599722,11/5/19,Embryonic Stem Cell,,50525183,32682242,0.2,61682,0.8935
GSM3771270,GSE131356,mESC_interphase,31599722,11/5/19,Embryonic Stem Cell,,47380458,30389334,0.224,60550,0.8908
GSM3771273,GSE131356,mESC_metaphase,31599722,11/5/19,Embryonic Stem Cell,,57891511,36887336,0.039,22859,0.9545
GSM3771274,GSE131356,mESC_metaphase,31599722,11/5/19,Embryonic Stem Cell,,39906576,24544889,0.094,31652,0.931
GSM3790133,GSE131583,HSPC,32249213,4/7/20,Hematopoietic Stem and Progenitor Cell,,59945620,13174756,0.218,32451,0.9265
GSM3790134,GSE131583,HSPC,32249213,4/7/20,Hematopoietic Stem and Progenitor Cell,,57217290,14000270,0.288,37505,0.913
GSM3840086,GSE132054,pachynema_diplonema,31291573;34016985,6/3/19,Pachynema/Diplonema,,35382131,22889717,0.101,26907,0.7816
GSM3873086,GSE132531,Th1,31377117,7/19/19,"Spleen, Lymph nodes",,23853236,16649420,0.201,46056,0.9137
GSM3873087,GSE132531,Th2,31377117,7/19/19,"Spleen, Lymph nodes",,15839136,11229168,0.174,35396,0.9215
GSM3873088,GSE132531,Th1,31377117,7/19/19,"Spleen, Lymph nodes",,24353736,16973495,0.252,51234,0.902
GSM3873089,GSE132531,Th2,31377117,7/19/19,"Spleen, Lymph nodes",,25369636,17721929,0.217,46495,0.9051
GSM3873090,GSE132531,Th1,31377117,7/19/19,"Spleen, Lymph nodes",,20897088,14455711,0.224,47666,0.9138
GSM3873091,GSE132531,Th2,31377117,7/19/19,"Spleen, Lymph nodes",,30994320,21013872,0.218,48149,0.9009
GSM3895911,GSE132898,naive_CD4+_T_cells,32759226,7/5/20,"Spleen, Lymph Nodes",,13132563,6253675,0.14,23573,0.8438
GSM3992899,GSE135180,E14,33318687,10/15/20,Embryonic Stem Cell,,15559767,6872204,0.129,36239,0.934
GSM3992900,GSE135180,E14,33318687,10/15/20,Embryonic Stem Cell,,18870143,6476265,0.195,45293,0.911
GSM4025407,GSE135647,EL16.7,32451376,5/21/20,Embryonic Stem Cell,,93242231,10784901,0.019,12329,0.942
GSM4025408,GSE135647,EL16.7,32451376,5/21/20,Embryonic Stem Cell,,92393339,18198418,0.008,7215,0.9465
GSM4025409,GSE135647,EL16.7,32451376,5/21/20,Embryonic Stem Cell,,101434702,17211541,0.013,11013,0.9447
GSM4051044,GSE136488,E14,22955616,8/30/19,Embryonic Stem Cell,,47904211,30950304,0.069,38540,0.9326
GSM4051045,GSE136488,E14,22955616,8/30/19,Embryonic Stem Cell,,51741399,34948059,0.065,38326,0.9344
GSM4073103,GSE137216,CH12,31937660,1/1/20,B Lymphocyte,B-cell Lymphoma,42052007,28424731,0.361,101635,0.8761
GSM4073104,GSE137216,CH12,31937660,1/1/20,B Lymphocyte,B-cell Lymphoma,24254317,17616759,0.107,44130,0.9215
GSM4073105,GSE137216,CH12,31937660,1/1/20,B Lymphocyte,B-cell Lymphoma,41618035,27962278,0.091,45157,0.9283
GSM4073111,GSE137216,CH12,31937660,1/1/20,B Lymphocyte,B-cell Lymphoma,38237688,27345244,0.287,87759,0.8507
GSM4074279,GSE137285,v6.5,32294452,4/14/20,Embryonic Stem Cell,,38659236,27871377,0.105,44437,0.9247
GSM4074280,GSE137285,v6.5,32294452,4/14/20,Embryonic Stem Cell,,38857589,26429724,0.107,42627,0.9286
GSM4074287,GSE137285,v6.5,32294452,4/14/20,Embryonic Stem Cell,,26130949,19110401,0.111,44711,0.9342
GSM4074288,GSE137285,v6.5,32294452,4/14/20,Embryonic Stem Cell,,31414375,20657268,0.201,50053,0.8864
GSM4075528,GSE137335,E11.5_forelimb_and_hindlimb,,10/25/20,Forelimb and Hindlimb,,51881918,36221021,0.11,47043,0.8974
GSM4075534,GSE137335,E11.5_forelimb_and_hindlimb,,10/25/20,Forelimb and Hindlimb,,57418282,14243036,0.258,51691,0.8887
GSM4075545,GSE137335,E11.5_forelimb_and_hindlimb,,10/25/20,Forelimb and Hindlimb,,51524499,38310184,0.06,34399,0.9258
GSM4075550,GSE137335,E11.5_forelimb_and_hindlimb,,10/25/20,Forelimb and Hindlimb,,58459114,38421304,0.206,68784,0.8446
GSM4096525,GSE135031,HSPC,31495782,9/24/19,Hematopoietic Stem and Progenitor Cell,,60898708,38796355,0.127,47472,0.9127
GSM4096526,GSE135031,HSPC,31495782,9/24/19,Hematopoietic Stem and Progenitor Cell,,50126289,30200552,0.23,57693,0.8879
GSM4096528,GSE135031,HSPC,31495782,9/24/19,Hematopoietic Stem and Progenitor Cell,,47159913,31369691,0.227,58286,0.8896
GSM4096529,GSE135031,HSPC,31495782,9/24/19,Hematopoietic Stem and Progenitor Cell,,40609717,26258963,0.237,56295,0.8957
GSM4099359,GSE138102,mESC,33113380,10/26/20,Embryonic Stem Cell,,70579224,41326329,0.051,40613,0.9276
GSM4099360,GSE138102,mESC,33113380,10/26/20,Embryonic Stem Cell,,53003251,30282142,0.048,34831,0.9384
GSM4099361,GSE138102,mESC,33113380,10/26/20,Embryonic Stem Cell,,44285556,24974710,0.047,34405,0.9345
GSM4099362,GSE138102,mESC,33113380,10/26/20,Embryonic Stem Cell,,50626040,31090343,0.035,31145,0.9365
GSM4099363,GSE138102,mESC,33113380,10/26/20,Embryonic Stem Cell,,48164022,28892898,0.033,29697,0.9406
GSM4099364,GSE138102,mESC,33113380,10/26/20,Embryonic Stem Cell,,49847929,29851941,0.035,28737,0.9447
GSM4099365,GSE138102,mESC,33113380,10/26/20,Embryonic Stem Cell,,54307234,32931469,0.036,31871,0.938
GSM4110085,GSE138514,E13.5_genital_tubercule,32301703,4/25/20,Genital Tubercule,,37392355,24772066,0.084,35054,0.9163
GSM4120019,GSE138822,cerebellum,32647123,4/13/20,Cerebellum,,52608726,35899697,0.138,34074,0.9186
GSM4120020,GSE138822,cerebellum,32647123,4/13/20,Cerebellum,,51293208,36827421,0.194,41870,0.8866
GSM4120021,GSE138822,cerebellum,32647123,4/13/20,Cerebellum,,50535922,36105554,0.243,46342,0.908
GSM4120022,GSE138822,cerebellum,32647123,4/13/20,Cerebellum,,57164438,40997507,0.258,49620,0.8977
GSM4142140,GSE139483,N1E-115,37597632,2/14/24,Neuoblast,,169112644,94621417,0.369,87712,0.8038
GSM4142142,GSE139483,N1E-115,37597632,2/14/24,Neuoblast,,177085368,103466750,0.312,84753,0.8223
GSM4145978,GSE139679,neuron,32293525,3/1/20,Cortex,,29541346,4734240,0.066,13210,0.8553
GSM4145979,GSE139679,neuron,32293525,3/1/20,Cortex,,43097440,11352313,0.063,18659,0.9206
GSM4159991,GSE140363,E14,32393311,4/14/20,Embryonic Stem Cell,,46655453,23377561,0.108,45540,0.7952
GSM4159992,GSE140363,E14,32393311,4/14/20,Embryonic Stem Cell,,63778141,34439562,0.24,64028,0.6769
GSM4176394,GSE140659,C2C12,32807906,8/17/21,Myoblast,,9801625,4433543,0.1,22882,0.6551
GSM4176395,GSE140659,C2C12,32807906,8/17/21,Myoblast,,13253883,5701666,0.106,27968,0.6314
GSM4198705,GSE141223,CD4+_CD8+_T_cell,32887843,7/15/20,Thymus,,46661817,31145378,0.037,24674,0.9504
GSM4198706,GSE141223,CD4+_CD8+_T_cell,32887843,7/15/20,Thymus,,39123385,23107462,0.02,15433,0.9602
GSM4214143,GSE141853,CD4+_CD8+_thymocyte,32049053,2/11/20,Thymus,,113170442,77332324,0.176,53240,0.8534
GSM4214144,GSE141853,CD4+_CD8+_thymocyte,32049053,2/11/20,Thymus,,157701912,110099620,0.158,55020,0.8416
GSM4214145,GSE141853,CD4+_CD8+_thymocyte,32049053,2/11/20,Thymus,,143672134,103584833,0.167,57214,0.8218
GSM4214146,GSE141853,CD4+_CD8+_thymocyte,32049053,2/11/20,Thymus,,109895174,72032075,0.192,52982,0.8578
GSM4217564,GSE142006,erythroid,33089097,9/28/20,Erythroid,,96960618,3957292,0.314,37109,0.9482
GSM4217565,GSE142006,erythroid,33089097,9/28/20,Erythroid,,116800638,1935552,0.315,29857,0.9553
GSM4231197,GSE142796,skeletal_muscle,33836079,10/1/20,Skeletal Muscle,,121368538,39167147,0.011,8278,0.9585
GSM4240117,GSE142781,RAG2_deficient_v-Abl_transformed_pro_B_cell,32717742,5/11/20,Not Stated,,63534636,46110644,0.095,30981,0.896
GSM4252069,GSE142781,RAG2_deficient_v-Abl_transformed_pro_B_cell,32717742,5/11/20,Not Stated,,64947418,48146247,0.102,30462,0.9269
GSM4252071,GSE142781,RAG2_deficient_v-Abl_transformed_pro_B_cell,32717742,5/11/20,Not Stated,,56194712,41481331,0.136,33528,0.9139
GSM4255729,GSE143271,LSK,32132109,1/8/20,Bone Marrow,,82541801,28705371,0.027,21593,0.9499
GSM4278819,GSE144056,differentiating_mESC,34856126,12/1/21,Embryonic Stem Cell,,103336200,75671823,0.224,77161,0.8616
GSM4278821,GSE144056,differentiating_mESC,34856126,12/1/21,Embryonic Stem Cell,,113218478,82577797,0.218,70294,0.8707
GSM4278823,GSE144056,differentiating_mESC,34856126,12/1/21,Embryonic Stem Cell,,102639442,75096028,0.246,80994,0.856
GSM4278825,GSE144056,differentiating_mESC,34856126,12/1/21,Embryonic Stem Cell,,97955578,72116320,0.224,67754,0.8771
GSM4294197,GSE144712,HSPC,33397967,10/22/20,Bone Marrow,,60906026,32927406,0.083,38939,0.518
GSM4294309,GSE139117,G1E-ER4,32138752,2/20/20,Erythroid,,15024319,5451636,0.13,28987,0.9517
GSM4294310,GSE139117,G1E-ER4,32138752,2/20/20,Erythroid,,18555357,5837139,0.242,38188,0.9436
GSM4350092,GSE140975,pro_B_cell,32612238,7/1/20,Not Stated,,38102712,27770287,0.121,42321,0.9319
GSM4350093,GSE140975,pro_B_cell,32612238,7/1/20,Not Stated,,48149057,28574369,0.122,43312,0.9317
GSM4350096,GSE140975,pro_B_cell,32612238,7/1/20,Not Stated,,40220638,27122771,0.145,50815,0.9126
GSM4350097,GSE140975,pro_B_cell,32612238,7/1/20,Not Stated,,48454499,31700127,0.146,52592,0.9083
GSM4364238,GSE146082,mESC,32392318,4/27/20,Embryonic Stem Cell,,33333751,22866425,0.026,20270,0.9596
GSM4364239,GSE146082,mESC,32392318,4/27/20,Embryonic Stem Cell,,48078244,31805934,0.085,40559,0.9407
GSM4364240,GSE146082,mESC,32392318,4/27/20,Embryonic Stem Cell,,32486498,21584899,0.107,42131,0.941
GSM4364241,GSE146082,mESC,32392318,4/27/20,Embryonic Stem Cell,,21980371,13038301,0.17,44309,0.9362
GSM4376786,GSE137771,FGSC,34981210,1/20/22,Female Germline Stem Cell,,51674858,28864625,0.28,53178,0.9223
GSM4376787,GSE137771,FGSC,34981210,1/20/22,Female Germline Stem Cell,,45261926,24837885,0.15,37333,0.9423
GSM4386053,GSE94452,F123,,5/1/18,Embryonic Stem Cell,,18269142,9864354,0.173,42284,0.932
GSM4386054,GSE94452,F123,,5/1/18,Embryonic Stem Cell,,16550862,9269598,0.112,34116,0.9453
GSM4386057,GSE94452,F123,,5/1/18,Embryonic Stem Cell,,19032926,8833232,0.065,23107,0.9545
GSM4386058,GSE94452,F123,,5/1/18,Embryonic Stem Cell,,44459728,23027581,0.047,26375,0.9524
GSM4403033,GSE144712,HSPC,33397967,10/22/20,Bone Marrow,,47829264,31071564,0.032,17248,0.878
GSM4483635,GSE148834,fibroblast,35795460,4/17/23,Tail,,49730718,23351862,0.095,27126,0.912
GSM4483636,GSE148834,fibroblast,35795460,4/17/23,Tail,,81581266,15579238,0.129,25682,0.9183
GSM4483637,GSE148834,fibroblast,35795460,4/17/23,Tail,,88531062,11600407,0.067,15613,0.9066
GSM4483639,GSE148834,fibroblast,35795460,4/17/23,Tail,,46718328,22709653,0.039,13450,0.8834
GSM4550101,GSE150418,erythroid_progenitor,33626344,2/23/21,Erythroid Progenitor,,38445578,22783724,0.163,30480,0.9423
GSM4550102,GSE150418,erythroid_progenitor,33626344,2/23/21,Erythroid Progenitor,,40348561,20408831,0.209,43211,0.906
GSM4550113,GSE150418,erythroid_progenitor,33626344,2/23/21,Erythroid Progenitor,,37621976,6726814,0.212,32560,0.905
GSM4550114,GSE150418,erythroid_progenitor,33626344,2/23/21,Erythroid Progenitor,,38393564,20748339,0.129,38734,0.9244
GSM4550115,GSE150418,erythroid_progenitor,33626344,2/23/21,Erythroid Progenitor,,36051278,17962184,0.175,39598,0.9235
GSM4550116,GSE150418,erythroid_progenitor,33626344,2/23/21,Erythroid Progenitor,,41573641,15108379,0.112,32581,0.9259
GSM4550120,GSE150418,erythroid_progenitor,33626344,2/23/21,Erythroid Progenitor,,30895741,20071650,0.028,15186,0.9657
GSM4550121,GSE150418,erythroid_progenitor,33626344,2/23/21,Erythroid Progenitor,,38358593,23468679,0.023,14450,0.9642
GSM4555189,GSE150638,iPax7_myogenic_progenitor,33277476,10/31/20,iPax7 Myogenic Progenitor,,9361802,6687632,0.481,62687,0.3507
GSM4555190,GSE150638,iPax7_myogenic_progenitor,33277476,10/31/20,iPax7 Myogenic Progenitor,,4354556,3058296,0.271,35148,0.4039
GSM4555191,GSE150638,differentiating_iPax7_myogenic_progenitor,33277476,10/31/20,iPax7 Myogenic Progenitor,,23571234,21221092,0.45,86673,0.5318
GSM4555192,GSE150638,differentiating_iPax7_myogenic_progenitor,33277476,10/31/20,iPax7 Myogenic Progenitor,,18760028,16030058,0.46,93127,0.4693
GSM4593353,GSE151910,v-Abl_transformed_B6_pro_B_cell,,11/7/20,Not Stated,,23091768,14425619,0.157,30426,0.7854
GSM4593354,GSE151910,v-Abl_transformed_B6_pro_B_cell,,11/7/20,Not Stated,,25158192,15297873,0.255,33517,0.9153
GSM4593355,GSE151910,v-Abl_transformed_B6_pro_B_cell,,11/7/20,Not Stated,,31408040,16591534,0.255,37306,0.839
GSM4593356,GSE151910,v-Abl_transformed_B6_pro_B_cell,,11/7/20,Not Stated,,26086728,17887904,0.262,40227,0.8921
GSM4593357,GSE151910,v-Abl_transformed_B6_pro_B_cell,,11/7/20,Not Stated,,24996538,14958806,0.255,37103,0.9199
GSM4593358,GSE151910,v-Abl_transformed_B6_pro_B_cell,,11/7/20,Not Stated,,24105152,12847965,0.211,32169,0.9184
GSM4601042,GSE152052,AB17,34689165,8/24/20,Liver,,39435842,26456137,0.112,25982,0.9163
GSM4626655,GSE110061,F123,,8/22/20,Embryonic Stem Cell,,19764264,7056353,0.155,38501,0.9377
GSM4626659,GSE110061,F123,,8/22/20,Embryonic Stem Cell,,22235091,10613738,0.183,51590,0.8551
GSM4643768,GSE153403,F123,34002095,7/6/20,Embryonic Stem Cell,,47691282,21469168,0.208,52330,0.8996
GSM4643769,GSE153403,F123,34002095,7/6/20,Embryonic Stem Cell,,37897868,18933504,0.182,47354,0.9078
GSM465676,GSE18699,v6.5,19946276,11/29/09,Embryonic Stem Cell,,2983402,1752700,0.161,23484,0.9379
GSM4661659,GSE154009,mESC,34326481,6/4/21,Embryonic Stem Cell,,22609348,9754603,0.076,32247,0.9343
GSM4661660,GSE154009,mESC,34326481,6/4/21,Embryonic Stem Cell,,19847180,7763881,0.048,19290,0.9487
GSM4663236,GSE154051,neutrophil,33334824,10/10/20,Neutrophil,,18061464,10061116,0.228,42210,0.9314
GSM4663237,GSE154051,neutrophil,33334824,10/10/20,Neutrophil,,10679422,7405106,0.297,42299,0.8979
GSM4663238,GSE154051,neutrophil,33334824,10/10/20,Neutrophil,,15310391,8006827,0.311,43308,0.9351
GSM4665697,GSE154189,E9_whole_forelimb_bud,33229569,11/10/20,Whole Forelimb Bud,,12894114,9273989,0.062,20907,0.9269
GSM4665698,GSE154189,E12.5_whole_forelimb_bud,33229569,11/10/20,Whole Forelimb Bud,,15242294,8347189,0.114,27388,0.9319
GSM4667565,GSE154249,germ_cell,34158481,4/22/21,Testis,,65155201,28170601,0.024,16170,0.9608
GSM4667566,GSE154249,germ_cell,34158481,4/22/21,Testis,,62433370,27847747,0.181,64647,0.5824
GSM4670222,GSE154387,Hepa-1c1c7,33319643,7/21/20,Liver,Hepatoma,120912809,63053970,0.277,93249,0.8655
GSM4670223,GSE154387,Hepa-1c1c7,33319643,7/21/20,Liver,Hepatoma,88492253,51881129,0.333,99866,0.8463
GSM4670224,GSE154387,Hepa-1c1c7,33319643,7/21/20,Liver,Hepatoma,34659798,22835023,0.37,72659,0.8713
GSM4670225,GSE154387,Hepa-1c1c7,33319643,7/21/20,Liver,Hepatoma,70020336,42803336,0.317,90562,0.8587
GSM4672146,GSE141223,CD4+_CD8+_T_cell,32887843,7/15/20,Thymus,,25504219,5948443,0.038,10885,0.9465
GSM4672147,GSE141223,CD4+_CD8+_T_cell,32887843,7/15/20,Thymus,,25477272,5942619,0.036,11094,0.9539
GSM4696318,GSE155161,liver,34099014,5/4/21,Liver,,142919590,76007909,0.063,30373,0.943
GSM4696319,GSE155161,liver,34099014,5/4/21,Liver,,88056040,21631629,0.025,8233,0.9584
GSM4696320,GSE155161,liver,34099014,5/4/21,Liver,,122987620,75260899,0.088,33629,0.9325
GSM4721994,GSE156074,erythroid_progenitor,36371401,11/18/20,Erythroid Progenitor,,42587210,21650006,0.258,66148,0.8947
GSM4721996,GSE156074,iMk,36371401,11/18/20,Bone Marrow,,35330050,19211095,0.037,19742,0.953
GSM4721997,GSE156074,CMP,36371401,11/18/20,Bone Marrow,,30986124,2669904,0.061,12882,0.9343
GSM4721998,GSE156074,GMP,36371401,11/18/20,Bone Marrow,,29603542,2069039,0.14,21247,0.9086
GSM4721999,GSE156074,erythroid_progenitor,36371401,11/18/20,Erythroid Progenitor,,32550070,18621967,0.017,13414,0.9584
GSM4722000,GSE156074,CFUMk,36371401,11/18/20,Bone Marrow,,27896499,14806657,0.119,35388,0.9181
GSM4722001,GSE156074,CFUE,36371401,11/18/20,Bone Marrow,,26850438,4729083,0.017,5320,0.896
GSM4742530,GSE156697,mESC,35197580,9/20/20,Embryonic Stem Cell,,61051142,39645201,0.251,93138,0.8987
