GSM,GSE,Label,PubMed ID,Release Date,In Situ Site,Disease,Total Reads,High-Quality Reads,FRiP,Num Peaks,motif_ov_ratio
GSM2667238,GSE99991,neural_progenitor,29887375,6/7/18,Neural Progenitor,,65209192,48204078,0.26,72822,0.8752
GSM2667243,GSE99991,neural_progenitor,29887375,6/7/18,Neural Progenitor,,75061968,54529717,0.168,56916,0.8886
GSM2667248,GSE99991,neural_progenitor,29887375,6/7/18,Neural Progenitor,,63581754,46018773,0.166,54272,0.9018
GSM2684854,GSE87185,AtT-20,29358650;34197620;40378211,1/24/18,Pituitary gland,Tumor,137218150,101689834,0.006,9863,0.9732
GSM2702903,GSE100835,HPC-7,29429976,1/25/18,Hematopoetic Progenitor,,54129535,29853039,0.107,45395,0.9258
GSM2702904,GSE100835,HPC-7,29429976,1/25/18,Hematopoetic Progenitor,,41379633,23745699,0.164,53029,0.9111
GSM2702905,GSE100835,HPC-7,29429976,1/25/18,Hematopoetic Progenitor,,41307700,23652235,0.104,40605,0.9291
GSM2702906,GSE100835,HPC-7,29429976,1/25/18,Hematopoetic Progenitor,,41902818,24458682,0.118,43602,0.9241
GSM2713707,GSE101717,e12.5_distal_forelimb,29273679;31299961,12/22/17,Distal Forelimb,,181140348,55643160,0.116,55883,0.8716
GSM2713708,GSE101717,e12.5_proximal_forelimb,29273679;31299961,12/22/17,Proximal Forelimb,,189433084,60370025,0.107,55620,0.8774
GSM2713709,GSE101717,e12.5_whole_forelimb_and_hindlimb,29273679;31299961,12/22/17,Whole Forelimb and Hindlimb,,45645591,12928103,0.121,35010,0.918
GSM2740559,GSE93431,liver,29094699,6/10/17,Liver,,33037373,7398330,0.128,29694,0.9256
GSM2740560,GSE93431,liver,29094699,6/10/17,Liver,,43869370,12377929,0.016,9974,0.9565
GSM2752310,GSE102999,liver,29757144;32680543,5/11/18,Liver,,16954532,11034044,0.236,47914,0.8044
GSM2752311,GSE102999,liver,29757144;32680543,5/11/18,Liver,,21984490,14318506,0.23,50780,0.8295
GSM2752312,GSE102999,liver,29757144;32680543,5/11/18,Liver,,19943125,11814560,0.248,49978,0.791
GSM2752313,GSE102999,liver,29757144;32680543,5/11/18,Liver,,18811789,11522608,0.089,30483,0.9138
GSM2757302,GSE103199,NIH-3T3,29860503,5/30/18,Embryonic Fibroblast,,100494440,4775546,0.263,36761,0.6799
GSM2787567,GSE104000,JM8.N4,,2/1/24,Embryonic Stem Cell,,52934677,33016666,0.361,100456,0.8699
GSM2787572,GSE104000,JM8.N4,,2/1/24,Embryonic Stem Cell,,49197765,28586808,0.332,85194,0.881
GSM2790409,GSE104129,liver,29439026,2/9/18,Liver,,9919009,5838944,0.455,56234,0.7175
GSM2790410,GSE104129,liver,29439026,2/9/18,Liver,,9468270,5375523,0.472,55133,0.7277
GSM2797831,GSE104427,MEF,29654311,2/12/18,Embryonic Fibroblast,,30052884,5651319,0.039,14214,0.9609
GSM2797832,GSE104427,MEF,29654311,2/12/18,Embryonic Fibroblast,,22403867,5033529,0.146,28317,0.929
GSM2817432,GSE105071,e13.5_telencephalon,30377227,4/5/19,Telencephalon,,83152620,27179764,0.062,22830,0.9364
GSM2832556,GSE97871,Ter119+_erythroid,28737770,6/14/17,Spleen,,127415380,88198065,0.108,35693,0.8467
GSM2867769,GSE90017,e16.5_nephron_progenitor,,1/17/18,Nephron Progenitor,,30938850,13723612,0.037,19793,0.9553
GSM2867770,GSE90017,e16.5_nephron_progenitor,,1/17/18,Nephron Progenitor,,37352405,24503905,0.134,42229,0.9154
GSM2870294,GSE74055,E14,29313530,1/9/18,Embryonic Stem Cell,,34139249,20372440,0.234,76075,0.8691
GSM2870298,GSE74055,E14,29313530,1/9/18,Embryonic Stem Cell,,27376034,19428047,0.306,88808,0.8478
GSM2916414,GSE108948,mESC,29514105,3/6/18,Embryonic Stem Cell,,5044380,2038039,0.364,24514,0.9427
GSM2916415,GSE108948,mESC,29514105,3/6/18,Embryonic Stem Cell,,13761558,5593137,0.263,29572,0.9391
GSM2916416,GSE108948,mESC,29514105,3/6/18,Embryonic Stem Cell,,9685472,3894070,0.052,5998,0.9546
GSM2916418,GSE108948,mESC,29514105,3/6/18,Embryonic Stem Cell,,9331400,3720341,0.152,16861,0.9532
GSM2948251,GSE109671,pre_B_cell_young,30180872,6/27/18,Bone Marrow,,111418600,69733465,0.009,9994,0.9701
GSM2948255,GSE109671,pre_B_cell_aged,30180872,6/27/18,Bone Marrow,,177487826,106489181,0.007,10479,0.9726
GSM2948958,GSE87064,iPSC,28472656;29514090;31493975,5/3/17,Induced Pluripotent Stem Cell,,26099737,11959500,0.169,44222,0.922
GSM2948959,GSE87064,iPSC,28472656;29514090;31493975,5/3/17,Induced Pluripotent Stem Cell,,46373387,34300652,0.099,49507,0.9075
GSM2948960,GSE87064,iPSC,28472656;29514090;31493975,5/3/17,Induced Pluripotent Stem Cell,,23243702,17081083,0.146,49448,0.9082
GSM2948961,GSE87064,iPSC,28472656;29514090;31493975,5/3/17,Induced Pluripotent Stem Cell,,26160975,18347375,0.122,42357,0.9259
GSM2948962,GSE87064,iPSC,28472656;29514090;31493975,5/3/17,Induced Pluripotent Stem Cell,,23611121,17358610,0.133,44885,0.9226
GSM2948963,GSE87064,iPSC,28472656;29514090;31493975,5/3/17,Induced Pluripotent Stem Cell,,37531597,26962916,0.179,59004,0.8828
GSM2948964,GSE87064,iPSC,28472656;29514090;31493975,5/3/17,Induced Pluripotent Stem Cell,,39068644,28133925,0.093,43860,0.9282
GSM2948965,GSE87064,iPSC,28472656;29514090;31493975,5/3/17,Induced Pluripotent Stem Cell,,51040948,37726825,0.119,52517,0.9049
GSM2948966,GSE87064,iPSC,28472656;29514090;31493975,5/3/17,Induced Pluripotent Stem Cell,,65077815,27425901,0.086,43532,0.9265
